fighter_1,fighter_2,date,bout,location,event_name
Carlos Ulberg,Tafon Nchukwi,"June 25, 2022",Light Heavyweight Bout,"Las Vegas, Nevada, USA",UFC Fight Night
Mandy Bohm,Victoria Leonardo,"July 23, 2022",Women's Flyweight Bout,"London, England, United Kingdom",UFC Fight Night: Blaydes vs. Aspinall
Nikita Krylov,Alexander Gustafsson,"July 23, 2022",Light Heavyweight Bout,"London, England, United Kingdom",UFC Fight Night: Blaydes vs. Aspinall
Paul Craig,Volkan Oezdemir,"July 23, 2022",Light Heavyweight Bout,"London, England, United Kingdom",UFC Fight Night: Blaydes vs. Aspinall
Muhammad Mokaev,Charles Johnson,"July 23, 2022",Flyweight Bout,"London, England, United Kingdom",UFC Fight Night: Blaydes vs. Aspinall
Eddie Wineland,Cody Stamann,"June 18, 2022",Bantamweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Molly McCann,Hannah Goldy,"July 23, 2022",Women's Flyweight Bout,"London, England, United Kingdom",UFC Fight Night: Blaydes vs. Aspinall
Curtis Blaydes,Tom Aspinall,"July 23, 2022",Heavyweight Bout,"London, England, United Kingdom",UFC Fight Night: Blaydes vs. Aspinall
Jasmine Jasudavicius,Natalia Silva,"June 18, 2022",Women's Flyweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Court McGee,Jeremiah Wells,"June 18, 2022",Welterweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Jack Hermansson,Darren Till,"July 23, 2022",Middleweight Bout,"London, England, United Kingdom",UFC Fight Night: Blaydes vs. Aspinall
Roman Dolidze,Kyle Daukaus,"June 18, 2022",Middleweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Maria Oliveira,Gloria de Paula,"June 18, 2022",Women's Strawweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Julian Marquez,Gregory Rodrigues,"June 18, 2022",Middleweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Phil Hawes,Deron Winn,"June 18, 2022",Middleweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Robbie Lawler,Bryan Barberena,"July 02, 2022",Welterweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Brad Riddell,Jalin Turner,"July 02, 2022",Lightweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Damir Ismagulov,Guram Kutateladze,"June 18, 2022",Lightweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Jessica-Rose Clark,Julija Stoliarenko,"July 02, 2022",Women's Bantamweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Brad Tavares,Dricus Du Plessis,"July 02, 2022",Middleweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Uriah Hall,Andre Muniz,"July 02, 2022",Middleweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Sean Strickland,Alex Pereira,"July 02, 2022",Middleweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Lauren Murphy,Miesha Tate,"July 02, 2022",Women's Flyweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Jessica Eye,Maycee Barber,"July 02, 2022",Women's Flyweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Pedro Munhoz,Sean O'Malley,"July 02, 2022",Bantamweight Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Orion Cosce,Blood Diamond,"June 11, 2022",Welterweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Israel Adesanya,Jared Cannonier,"July 02, 2022",UFC Middleweight Title Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Rafael Dos Anjos,Rafael Fiziev,"July 09, 2022",Lightweight Bout,"Las Vegas, Nevada, USA",UFC Fight Night: Dos Anjos vs. Fiziev
Alexander Volkanovski,Max Holloway,"July 02, 2022",UFC Featherweight Title Bout,"Las Vegas, Nevada, USA",UFC 276: Adesanya vs. Cannonier
Caio Borralho,Armen Petrosyan,"July 09, 2022",Middleweight Bout,"Las Vegas, Nevada, USA",UFC Fight Night: Dos Anjos vs. Fiziev
Ramona Pascual,Joselyne Edwards,"June 11, 2022",Women's Bantamweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Kyung Ho Kang,Batgerel Danaa,"June 11, 2022",Bantamweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Brendan Allen,Jacob Malkoun,"June 11, 2022",Middleweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Na Liang,Silvana Gomez Juarez,"June 11, 2022",Women's Strawweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
SeungWoo Choi,Josh Culibao,"June 11, 2022",Featherweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Maheshate,Steve Garcia,"June 11, 2022",Featherweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Andre Fialho,Jake Matthews,"June 11, 2022",Welterweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Rogerio Bontorin,Manel Kape,"June 11, 2022",Flyweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Jack Della Maddalena,Ramazan Emeev,"June 11, 2022",Welterweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Glover Teixeira,Jiri Prochazka,"June 11, 2022",UFC Light Heavyweight Title Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Valentina Shevchenko,Taila Santos,"June 11, 2022",UFC Women's Flyweight Title Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Zhang Weili,Joanna Jedrzejczyk,"June 11, 2022",Women's Strawweight Bout,"Kallang, Singapore",UFC 275: Teixeira vs. Prochazka
Tim Means,Kevin Holland,"June 18, 2022",Welterweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Joaquin Buckley,Albert Duraev,"June 18, 2022",Middleweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Calvin Kattar,Josh Emmett,"June 18, 2022",Featherweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
Alexander Volkov,Jairzinho Rozenstruik,"June 04, 2022",Heavyweight Bout,"Las Vegas, Nevada, USA",UFC Fight Night: Volkov vs. Rozenstruik
Donald Cerrone,Joe Lauzon,"June 18, 2022",Lightweight Bout,"Austin, Texas, USA",UFC Fight Night: Kattar vs. Emmett
